        47: G21  2018- 1- 2  0:23:30.0000000  Eliminate info: elevation angle is 5.55 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        48: G03  2018- 1- 2  0:24: 0.0000000  Eliminate info: elevation angle is 9.05 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        49: G03  2018- 1- 2  0:24:30.0000000  Eliminate info: elevation angle is 8.98 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        49: G21  2018- 1- 2  0:24:30.0000000  Eliminate info: elevation angle is 5.43 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        49: G22  2018- 1- 2  0:24:30.0000000  Eliminate info: elevation angle is 9.96 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        50: G03  2018- 1- 2  0:25: 0.0000000  Eliminate info: elevation angle is 8.91 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        50: G21  2018- 1- 2  0:25: 0.0000000  Eliminate info: elevation angle is 5.36 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        50: G22  2018- 1- 2  0:25: 0.0000000  Eliminate info: elevation angle is 9.90 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        51: G03  2018- 1- 2  0:25:30.0000000  Eliminate info: elevation angle is 8.84 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        51: G21  2018- 1- 2  0:25:30.0000000  Eliminate info: elevation angle is 5.30 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        51: G22  2018- 1- 2  0:25:30.0000000  Eliminate info: elevation angle is 9.85 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        52: G03  2018- 1- 2  0:26: 0.0000000  Eliminate info: elevation angle is 8.78 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        52: G21  2018- 1- 2  0:26: 0.0000000  Eliminate info: elevation angle is 5.23 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        52: G22  2018- 1- 2  0:26: 0.0000000  Eliminate info: elevation angle is 9.79 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        53: G03  2018- 1- 2  0:26:30.0000000  Eliminate info: elevation angle is 8.71 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        53: G21  2018- 1- 2  0:26:30.0000000  Eliminate info: elevation angle is 5.16 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        53: G22  2018- 1- 2  0:26:30.0000000  Eliminate info: elevation angle is 9.73 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        54: G03  2018- 1- 2  0:27: 0.0000000  Eliminate info: elevation angle is 8.64 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        54: G21  2018- 1- 2  0:27: 0.0000000  Eliminate info: elevation angle is 5.10 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        54: G22  2018- 1- 2  0:27: 0.0000000  Eliminate info: elevation angle is 9.68 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        55: G03  2018- 1- 2  0:27:30.0000000  Eliminate info: elevation angle is 8.58 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        55: G21  2018- 1- 2  0:27:30.0000000  Eliminate info: elevation angle is 5.03 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        55: G22  2018- 1- 2  0:27:30.0000000  Eliminate info: elevation angle is 9.62 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        56: G03  2018- 1- 2  0:28: 0.0000000  Eliminate info: elevation angle is 8.51 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        56: G22  2018- 1- 2  0:28: 0.0000000  Eliminate info: elevation angle is 9.57 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        57: G03  2018- 1- 2  0:28:30.0000000  Eliminate info: elevation angle is 8.45 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        57: G22  2018- 1- 2  0:28:30.0000000  Eliminate info: elevation angle is 9.51 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        58: G03  2018- 1- 2  0:29: 0.0000000  Eliminate info: elevation angle is 8.38 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        58: G21  2018- 1- 2  0:29: 0.0000000  Eliminate info: elevation angle is 4.83 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        58: G22  2018- 1- 2  0:29: 0.0000000  Eliminate info: elevation angle is 9.46 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        59: G03  2018- 1- 2  0:29:30.0000000  Eliminate info: elevation angle is 8.31 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        59: G21  2018- 1- 2  0:29:30.0000000  Eliminate info: elevation angle is 4.76 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        59: G22  2018- 1- 2  0:29:30.0000000  Eliminate info: elevation angle is 9.40 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        60: G03  2018- 1- 2  0:30: 0.0000000  Eliminate info: elevation angle is 8.25 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        60: G21  2018- 1- 2  0:30: 0.0000000  Eliminate info: elevation angle is 4.69 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
        60: G22  2018- 1- 2  0:30: 0.0000000  Eliminate info: elevation angle is 9.35 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
